ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled,_enable_custom_addons,_enable_text_field_nombre_persona,_enable_text_field_fecha_evento,_enable_text_field_localidad,_enable_text_field_iglesia,_enable_text_field_hora_misa,_enable_text_field_restaurante,_enable_text_field_observaciones,_enable_text_field_ano_curso,_enable_text_field_hora_evento,_enable_text_field_inicial
22815,RECORDATORIO DE COMUNIÓN DE NIÑO CLÁSICO,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22887,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
22900,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑO,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
22912,GUIRNALDA DE BANDERINES CON NOMBRE Y NIÑO PERSONALIZADO,4,NOMBRE,on,FECHA,off,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,off,off,off,off,off,off,,off,off
22922,GUIRNALDA DE BANDERINES CON NOMBRE Y NIÑA PERSONALIZADA,4,NOMBRE,on,FECHA,off,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,off,off,off,off,off,off,,off,off
22967,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA CON CORONA DE FLORES,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
23018,RECORDATORIO DE COMUNIÓN DOBLE CON INICIAL DE FLORES Y CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
23031,RECORDATORIO COMUNIÓN CON INICIAL DE FLORES,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
23041,ETIQUETA CUADRADA CON INCIAL CON FLORES,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
23056,RECORDATORIO DE COMUNIÓN CON INICIAL DE FLORES,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
23064,RECORDATORIO DE COMUNIÓN CUADRADO CON INICIAL DE FLORES CON CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
23194,GUIRNALDA DE BANDERINES CON FÚTBOL Y NOMBRE  DEL NIÑO,4,NOMBRE,on,FECHA,off,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,off,off,off,off,off,off,,off,off
24391,RECORDATORIO COMUNIÓN DE NIÑO MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
25027,RECORDATORIO COMUNIÓN  MARCAPÁGINAS DOBLE CON CRUZ EN RELIEVE,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
