"ID","Title","Sku","Product Type","_enable_custom_addons","_enable_text_field_nombre_persona","_enable_text_field_fecha_evento","_enable_text_field_localidad","_enable_text_field_iglesia","_enable_text_field_hora_misa","_enable_text_field_restaurante","_enable_text_field_observaciones","_enable_text_field_ano_curso","_enable_text_field_hora_evento","_enable_text_field_inicial","_text_field_option_nombre_persona","_text_field_option_fecha_evento"
"23672","KIT PARA FIESTA - CONEJITA CUMPLEAÑOS","AP-10588","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
"23687","KIT PARA FIESTA - FLAMENCO","AP-10594","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
"23700","KIT PARA FIESTA - JIRAFA ROSA","AP-10599","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
"23708","LIBRO DE FIRMAS BAUTIZO CON JIRAFA EN AZUL","AP-10604","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"23713","LIBRO DE FIRMAS BAUTIZO CON CONEJITO CON OSOS","AP-10607","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"23721","LIBRO DE FIRMAS BAUTIZO CON OSITO EN AZUL","AP-10610","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"23724","LIBRO DE FIRMAS BAUTIZO CON CONEJITO EN ROSA","AP-10613","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"23727","LIBRO DE FIRMAS BAUTIZO CON ELEFANTE DORMIDO","AP-10616","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"23777","LÁMINA DE NACIMIENTO CON OSITO CON CORONA","AP-10619","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA NACIMIENTO"
"23796","LÁMINA DE NACIMIENTO CON ELEFANTE SOBRE UNA NUBE","AP-10629","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA NACIMIENTO"
"23802","LÁMINA DE NACIMIENTO CON GATO EN ROSA","AP-10635","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA NACIMIENTO"
"23808","LÁMINA DE NACIMIENTO CON BEBÉ Y GUIRNALDA","AP-10641","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA NACIMIENTO"
"23816","KIT PARA FIESTA - GATITO","AP-10647","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
"23847","LIBRO DE FIRMAS DE RECUERDO DE FIN DE CURSO PARA PROFES","AP-10652","simple","no","","","no","no","no","no","no","yes","no","no","NOMBRE PROFE",""
"23853","KIT PARA FIESTA -LUNA","AP-10653","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
"24388","RECORDATORIO DE COMUNIÓN DE NIÑO MARCAPÁGINAS DOBLE VON CARTULINA KRAFT","AP-10658","variable","","yes","yes","yes","yes","no","no","yes","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
