ID,Tipo,SKU,Nombre,Publicado,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Categorías Principales,Subcategorías,Etiquetas
23713,variable,AP-10607,LIBRO DE FIRMAS BAUTIZO CON CONEJITO CON OSOS,-1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
23721,variable,AP-10610,LIBRO DE FIRMAS BAUTIZO CON OSITO EN AZUL,-1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
23724,variable,AP-10613,LIBRO DE FIRMAS BAUTIZO CON CONEJITO EN ROSA,-1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
23727,variable,AP-10616,LIBRO DE FIRMAS BAUTIZO CON ELEFANTE DORMIDO,1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
23847,simple,AP-10652,LIBRO DE FIRMAS DE RECUERDO DE FIN DE CURSO PARA PROFES,1,0,0,,,,,0,Gracias por tu compra.,,26,"DETALLES > FIN DE CURSO, LIBROS DE FIRMAS, LIBROS DE FIRMAS > FIN DE CURSO, DETALLES","DETALLES, LIBROS DE FIRMAS","DETALLES > FIN DE CURSO, LIBROS DE FIRMAS > FIN DE CURSO","Infantil, Personalizado, Recuerdo, Regalo"
24772,variable,AP-10667,TARJETAS DEL PRIMER AÑO DEL BEBÉ   modelo estrellas,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > TARJETAS PRIMER AÑO DEL BEBE, BAUTIZO - BEBÉ > ETIQUETAS","LIBROS DE FIRMAS, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ > TARJETAS PRIMER AÑO DEL BEBE, BAUTIZO - BEBÉ > ETIQUETAS","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
24774,variable,AP-10669,TARJETAS DEL PRIMER AÑO DEL BEBÉ   modelo cigueña,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > TARJETAS PRIMER AÑO DEL BEBE, BAUTIZO - BEBÉ > ETIQUETAS","LIBROS DE FIRMAS, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ > TARJETAS PRIMER AÑO DEL BEBE, BAUTIZO - BEBÉ > ETIQUETAS","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
24776,variable,AP-10671,ÁLBUM DE FOTOS DEL PRIMER AÑO DEL BEBE,1,0,0,,,,,1,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
24790,variable,AP-10673,ÁLBUM DE FOTOS DEL PRIMER AÑO DEL BEBE modelo cigueña,1,0,0,,,,,1,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ > ALBUM DE FOTOS PRIMER AÑO BEBÉ","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
24807,variable,AP-10675,PACK TARJETAS DEL PRIMER AÑO DEL BEBÉ  CON ALBUM A JUEGO,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > TARJETAS PRIMER AÑO DEL BEBE, BAUTIZO - BEBÉ > ETIQUETAS","LIBROS DE FIRMAS, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ > TARJETAS PRIMER AÑO DEL BEBE, BAUTIZO - BEBÉ > ETIQUETAS","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
