"ID","Tipo","SKU","Nombre","Publicado","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías","Etiquetas"
21469,"variable","AP-10213","ETIQUETAS CON FORMA DE BEBÉ + ETIQUETA NOMBRE",1,0,0,,,,,1,,,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ETIQUETAS","Babyshower, Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21484,"variable","AP-10216","KIT PARA FIESTA - CAPERUCITA ROJA",1,0,0,,,,,1,,,,"OTROS","Cumpleaños, Fiesta, Infantil, Personalizado"
21508,"variable","AP-10225","KIT PARA FIESTA - BAILARINA",1,0,0,,,,,1,,,,"OTROS","Cumpleaños, Fiesta, Infantil, Personalizado"
21526,"variable","AP-10232","KIT PARA FIESTA - UNICORNIO",1,0,0,,,,,1,,,,"OTROS","Cumpleaños, Fiesta, Infantil, Personalizado"
21542,"variable","AP-10235","KIT PARA FIESTA - SIRENA",1,0,0,,,,,1,,,,"OTROS","Cumpleaños, Fiesta, Infantil, Personalizado"
21551,"variable","AP-10240","KIT PARA FIESTA - ANIMALES DEL BOSQUE",1,0,0,,,,,1,,,,"OTROS","Cumpleaños, Fiesta, Infantil, Personalizado"
21672,"variable","AP-10247","LIBRO DE FIRMAS BAUTIZO CON ANIMALES DEL BOSQUE",-1,0,0,,,,,0,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
21692,"variable","AP-10256","LÁMINA DE ÁRBOL DE HUELLAS CON ELEFANTE, LEON O JIRAFA",1,0,0,,,,,1,"Gracias por tu compra.",,,"LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
21699,"variable","AP-10260","LÁMINA DE ÁRBOL DE HUELLAS CON ANIMALES DEL BOSQUE",1,0,0,,,,,1,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
21855,"variable","AP-10296","LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA",1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
21973,"variable","AP-10299","LÁMINA DE ARBOL DE HUELLAS DE COMUNIÓN NIÑA",1,0,0,,,,,1,,,,"COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión"", COMUNIÓN > LÁMINAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22004,"variable","AP-10304","RECORDATORIO DE COMUNIÓN DE NIÑA (apaisado 15 x 10 cm)",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22012,"variable","AP-10307","RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA (apaisado 15 x 10 cm)",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22020,"variable","AP-10310","RECORDATORIO COMUNIÓN CON GUIRNALDA ( apaisado 15 x 10 cm)",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22027,"variable","AP-10313","RECORDATORIO DE COMUNIÓN DE NIÑA CON CIRCULO (apaisado 15 x 10 cm)",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22034,"variable","AP-10316","ETIQUETAS CUADRADA DE COMUNION CON NIÑA",1,0,0,,,,,1,,,,"COMUNIÓN, COMUNIÓN > ETIQUETAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22058,"variable","AP-10319","ETIQUETAS CUADRADA CON GUIRNALDA",1,0,0,,,,,0,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22086,"variable","AP-10322","ETIQUETAS REDONDAS DE COMUNION CON GUIRNALDA",1,0,0,,,,,0,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22131,"variable","AP-10332","LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA VERDE",1,0,0,,,,,0,"Gracias por tu compra.",,,"LIBROS DE FIRMAS > COMUNIÓN, BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
22302,"variable","AP-10335","ETIQUETAS DE COMUNION CON NIÑA (TIPO TAG)",1,0,0,,,,,1,,,,"COMUNIÓN, COMUNIÓN > ETIQUETAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22332,"variable","AP-10338","ETIQUETAS CON CORONA (TIPO TAG)",1,0,0,,,,,0,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22359,"variable","AP-10340","RECORDATORIO DE COMUNIÓN MARCAPÁGINAS SIMPLE",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22366,"variable","AP-10343","RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA",1,0,0,,,,,1,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22372,"variable","AP-10346","RECORDATORIO COMUNIÓN DE NIÑA MARCAPÁGINAS CON GUIRNALDA",1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
