ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
22415,RECORDATORIO COMUNIÓN MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA KRAFT,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22426,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA DOBLE CON CARTULINA KRAFT,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22434,RECORDATORIO COMUNIÓN MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA LUNARES,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22443,FAJÍN DE BOTELLA DE COMUNIÓN DE NIÑO,1,,off,,,,,,,,,,,,,,
22448,RECORDATORIO DE COMUNIÓN DE NIÑO MARCAPÁGINAS SIMPLE,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22462,RECORDATORIO COMUNIÓN DE NIÑO MARCAPÁGINAS CON GUIRNALDA,4,NOMBRE DE LA NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22469,BOLSITA DE CELOFÁN CON ETIQUETA DE NIÑA DE COMUNIÓN,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22492,BOLSITA DE CELOFÁN CON ETIQUETA DE GUIRNALDA DE NIÑA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22516,BOLSITA DE CELOFÁN CON ETIQUETA DE NIÑO DE COMUNIÓN,2,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22551,BOLSITA DE CELOFÁN CON ETIQUETA DE GUIRNALDA DE NIÑO,2,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22577,LÁMINA DE ARBOL DE HUELLAS DE COMUNIÓN NIÑO,2,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22594,ETIQUETAS CUADRADA CON GUIRNALDA NIÑO,2,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN/BAUTIZO,on,,,,,,,,,,,,
22641,RECORDATORIO BAUTIZO MARCAPÁGINAS CON ANIMALES,4,NOMBRE DEL NIÑO/ DE LA NIÑA,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22654,RECORDATORIO BAUTIZO MARCAPÁGINAS CON BEBE SONRIENTE,4,NOMBRE DEL NIÑO/ DE LA NIÑA,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22662,ETIQUETAS CUADRADA BAUTIZO CON ANIMAL,2,NOMBRE DE LA NIÑA/O,on,FECHA DEL BAUTIZO,on,,,,,,,,,,,,
22689,ETIQUETAS CUADRADAS CON BEBE SONRIENTE,4,NOMBRE DEL NIÑO/ DE LA NIÑA,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22706,MINUTA - TARJETA  MENÚ COMUNIÓN DE NIÑO,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,MENU,on,LOCALIDAD,off,,,,,,,,
22721,MINUTA- TARJETA MENÚ COMUNIÓN DE NIÑA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22727,MINUTA- TARJETA MENÚ CON GUIRNALDA NIÑA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22733,MINUTA - TARJETA MENÚ GUIRNALDA NIÑO,4,NOMBRE DE LA NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
